,Unnamed: 0,HOUR,MAKE,BODY_TYP,MOD_YEAR,AGE,INJ_SEV,REST_USE,EJECTION,VE_FORMS,VSURCOND,ROLLOVER,TRAV_SP,VSPD_LIM,LGT_COND
7,7,22,Toyota,Pickups,2011.0,23,0,1,0,1,1,0,75,70,2
9,9,0,Chevrolet,Pickups,2004.0,40,0,1,0,2,1,0,70,70,2
11,11,12,Jeep,SUVs,2016.0,38,4,1,0,3,2,0,65,70,1
12,12,12,Jeep,SUVs,2016.0,30,3,1,0,3,2,0,65,70,1
20,20,21,Hyundai,Sedans,2016.0,24,4,1,0,2,1,0,30,55,2
21,21,14,Hyundai,Sedans,2016.0,75,3,1,0,1,1,0,65,35,1
22,22,14,Hyundai,Sedans,2016.0,89,4,1,0,1,1,0,65,35,1
23,23,16,Chevrolet,Pickups,2002.0,34,4,0,2,1,1,1,70,45,1
24,24,16,Chevrolet,Pickups,2002.0,21,3,0,0,1,1,1,70,45,1
25,25,13,Honda,Sedans,2010.0,27,0,1,0,1,1,0,58,55,1
26,26,16,BMW,Pickups,2001.0,74,4,0,1,2,1,0,10,25,5
27,27,16,BMW,Pickups,2001.0,31,1,1,0,2,1,0,10,25,5
39,39,9,Toyota,Pickups,2004.0,47,3,1,0,2,1,1,55,55,1
42,42,22,Ford,SUVs,2008.0,47,3,0,0,2,1,0,40,40,2
43,43,22,Ford,SUVs,2008.0,12,2,1,0,2,1,0,40,40,2
44,44,22,Ford,SUVs,2008.0,10,2,1,0,2,1,0,40,40,2
45,45,22,Ford,SUVs,2008.0,10,2,1,0,2,1,0,40,40,2
52,52,7,Jeep,SUVs,2002.0,25,3,0,0,2,2,0,45,45,1
53,53,7,Jeep,SUVs,2002.0,17,3,1,0,2,2,0,45,45,1
54,54,23,Chevrolet,Pickups,2006.0,32,4,0,0,1,2,0,45,45,2
55,55,23,Chevrolet,Pickups,2006.0,31,0,0,0,1,2,0,45,45,2
56,56,7,Dodge,Sedans,2016.0,30,4,1,0,2,2,0,50,55,1
61,61,5,Ford,Pickups,2004.0,54,0,1,0,1,2,0,50,45,3
62,62,12,Chevrolet,SUVs,2004.0,31,3,0,0,2,1,0,55,55,1
63,63,12,Chevrolet,SUVs,2004.0,9,4,0,0,2,1,0,55,55,1
65,65,22,Hyundai,Sedans,2012.0,17,4,0,0,1,2,0,70,55,2
74,74,23,Chevrolet,SUVs,2003.0,19,4,0,1,1,1,1,65,45,2
76,76,15,Jeep,SUVs,1999.0,60,3,0,0,2,1,0,55,55,1
77,77,15,Toyota,SUVs,2017.0,80,4,1,0,2,1,0,50,55,1
78,78,15,Toyota,SUVs,2017.0,81,4,1,0,2,1,0,50,55,1
79,79,18,Chevrolet,Sedans,2006.0,71,3,1,0,2,1,0,40,55,2
80,80,18,Chevrolet,Sedans,2006.0,71,4,1,0,2,1,0,40,55,2
86,86,19,Chevrolet,SUVs,2007.0,19,4,0,0,2,1,0,55,55,2
96,96,17,Toyota,Pickups,2010.0,47,4,0,0,2,1,0,55,50,3
98,98,10,GMC,Pickups,2007.0,64,4,1,0,1,4,1,55,55,1
99,99,17,Ford,Sedans,2001.0,87,0,1,0,1,1,0,55,55,2
100,100,17,Ford,Sedans,2001.0,80,0,1,0,1,1,0,55,55,2
108,108,13,Dodge,Sedans,2004.0,44,2,1,0,5,2,0,55,55,1
110,110,6,Toyota,Pickups,1986.0,27,0,1,0,1,1,0,60,45,3
111,111,6,Jeep,SUVs,2011.0,41,4,0,1,1,1,2,65,55,2
115,115,15,Chevrolet,Pickups,2003.0,61,3,0,0,2,1,0,50,55,1
119,119,7,Chevrolet,Sedans,2013.0,55,4,0,0,2,2,0,55,55,1
120,120,7,Ford,Pickups,2003.0,45,4,0,0,2,2,1,30,55,1
121,121,4,Ford,Sedans,2008.0,18,4,1,0,1,2,0,65,55,2
126,126,7,Honda,Sedans,2005.0,27,4,0,1,1,1,1,80,55,1
127,127,7,Honda,Sedans,2005.0,2,4,0,1,1,1,1,80,55,1
128,128,15,Chevrolet,Pickups,1998.0,68,4,0,1,1,1,0,50,55,1
131,131,3,Ford,SUVs,1996.0,54,0,1,0,1,2,0,65,70,2
132,132,3,Toyota,SUVs,2014.0,73,4,1,0,2,2,1,0,70,2
136,136,21,Chevrolet,Pickups,2008.0,80,0,1,0,2,1,0,40,55,2
137,137,20,BMW,Sedans,2017.0,24,2,0,1,1,1,1,80,55,2
138,138,20,BMW,Sedans,2017.0,25,4,0,1,1,1,1,80,55,2
142,142,21,Toyota,Sedans,2009.0,34,4,1,0,2,1,0,45,45,3
143,143,21,Toyota,Sedans,2009.0,10,3,1,2,2,1,0,45,45,3
144,144,17,Honda,Sedans,2012.0,18,4,0,0,3,1,0,65,65,1
150,150,1,Chevrolet,Pickups,2014.0,24,4,0,0,1,1,0,55,55,2
155,155,22,Chevrolet,Pickups,2005.0,43,4,0,0,1,1,1,70,40,2
158,158,18,GMC,SUVs,2013.0,29,0,1,0,3,1,0,55,55,2
159,159,18,Dodge,SUVs,2002.0,34,0,1,0,3,1,0,55,55,2
160,160,18,BMW,SUVs,2016.0,65,0,1,0,3,1,0,55,55,2
161,161,6,Dodge,Pickups,2008.0,39,4,1,0,1,4,1,55,55,1
162,162,9,Dodge,SUVs,2001.0,33,4,0,0,1,1,1,65,25,1
163,163,18,Ford,Sedans,2001.0,41,4,1,0,2,2,0,15,40,2
164,164,18,Ford,Sedans,2001.0,33,0,0,0,2,2,0,15,40,2
165,165,18,BMW,Sedans,2008.0,50,0,1,0,2,2,0,60,65,2
167,167,15,Ford,Pickups,1995.0,54,4,0,0,2,2,1,30,35,1
168,168,12,Honda,Sedans,2002.0,17,3,1,0,1,2,0,55,35,1
169,169,12,Honda,Sedans,2002.0,15,4,1,0,1,2,0,55,35,1
170,170,12,Honda,Sedans,2002.0,15,0,1,0,1,2,0,55,35,1
171,171,12,Honda,Sedans,2002.0,15,3,1,0,1,2,0,55,35,1
172,172,14,Honda,Sedans,1997.0,52,3,1,0,1,2,0,85,35,1
173,173,14,Honda,Sedans,1997.0,24,4,0,0,1,2,0,85,35,1
175,175,17,Toyota,Pickups,2012.0,65,0,1,0,2,2,0,55,65,2
184,184,7,GMC,SUVs,2007.0,17,1,1,0,2,1,0,70,45,1
185,185,7,GMC,Pickups,1996.0,42,4,1,0,2,1,0,50,45,1
187,187,9,Ford,SUVs,1996.0,27,4,1,0,1,2,0,55,45,1
188,188,19,Ford,Pickups,2010.0,79,2,1,0,1,1,1,55,55,2
189,189,19,Ford,Pickups,2010.0,74,3,1,0,1,1,1,55,55,2
190,190,19,Ford,Pickups,2010.0,78,4,0,1,1,1,1,55,55,2
194,194,22,Ford,SUVs,2002.0,56,4,0,0,1,2,0,70,55,2
197,197,20,BMW,Pickups,2003.0,36,0,1,0,1,1,0,45,45,2
198,198,20,BMW,Pickups,2003.0,24,0,1,0,1,1,0,45,45,2
199,199,20,BMW,Pickups,2003.0,11,0,1,0,1,1,0,45,45,2
202,202,12,BMW,Sedans,2017.0,21,3,0,0,1,1,1,130,55,1
203,203,12,BMW,Sedans,2017.0,19,4,0,0,1,1,1,130,55,1
204,204,21,BMW,Sedans,2007.0,58,4,0,0,1,1,0,45,60,2
205,205,12,Honda,Sedans,2003.0,20,4,1,0,2,1,0,15,55,1
206,206,12,Honda,Sedans,2003.0,14,3,1,0,2,1,0,15,55,1
207,207,12,Ford,Pickups,2016.0,43,1,1,0,2,1,0,65,65,1
212,212,16,BMW,SUVs,2017.0,36,1,1,0,3,1,0,55,55,1
213,213,16,BMW,SUVs,2017.0,10,1,1,0,3,1,0,55,55,1
219,219,21,Chevrolet,Sedans,2008.0,52,1,1,0,1,1,0,45,45,3
220,220,13,GMC,Pickups,2013.0,85,3,0,0,2,1,1,25,35,1
221,221,13,GMC,Pickups,2013.0,85,4,0,0,2,1,1,25,35,1
