,HOUR,MAKE,BODY_TYP,MOD_YEAR,AGE,INJ_SEV,REST_USE,EJECTION,VE_FORMS,VSURCOND,ROLLOVER,TRAV_SP,VSPD_LIM,LGT_COND,DIF_SP
0,22,Toyota,Pickups,8.0,23,No Apparent Injury,1,0,1,0,0,75,70,2,5
1,0,Chevrolet,Pickups,15.0,40,No Apparent Injury,1,0,2,0,0,70,70,2,0
2,12,Jeep,SUVs,3.0,38,Fatal Injury,1,0,3,1,0,65,70,0,-5
3,12,Jeep,SUVs,3.0,30,Suspected Serious Injury,1,0,3,1,0,65,70,0,-5
4,21,Hyundai,Sedans,3.0,24,Fatal Injury,1,0,2,0,0,30,55,2,-25
5,14,Hyundai,Sedans,3.0,75,Suspected Serious Injury,1,0,1,0,0,65,35,0,30
6,14,Hyundai,Sedans,3.0,89,Fatal Injury,1,0,1,0,0,65,35,0,30
7,16,Chevrolet,Pickups,17.0,34,Fatal Injury,0,2,1,0,1,70,45,0,25
8,16,Chevrolet,Pickups,17.0,21,Suspected Serious Injury,0,0,1,0,1,70,45,0,25
9,13,Honda,Sedans,9.0,27,No Apparent Injury,1,0,1,0,0,58,55,0,3
10,16,BMW,Pickups,18.0,74,Fatal Injury,0,1,2,0,0,10,25,1,-15
11,16,BMW,Pickups,18.0,31,Possible Injury,1,0,2,0,0,10,25,1,-15
12,9,Toyota,Pickups,15.0,47,Suspected Serious Injury,1,0,2,0,1,55,55,0,0
13,22,Ford,SUVs,11.0,47,Suspected Serious Injury,0,0,2,0,0,40,40,2,0
14,22,Ford,SUVs,11.0,12,Suspected Minor Injury,1,0,2,0,0,40,40,2,0
15,22,Ford,SUVs,11.0,10,Suspected Minor Injury,1,0,2,0,0,40,40,2,0
16,22,Ford,SUVs,11.0,10,Suspected Minor Injury,1,0,2,0,0,40,40,2,0
17,7,Jeep,SUVs,17.0,25,Suspected Serious Injury,0,0,2,1,0,45,45,0,0
18,7,Jeep,SUVs,17.0,17,Suspected Serious Injury,1,0,2,1,0,45,45,0,0
19,23,Chevrolet,Pickups,13.0,32,Fatal Injury,0,0,1,1,0,45,45,2,0
20,23,Chevrolet,Pickups,13.0,31,No Apparent Injury,0,0,1,1,0,45,45,2,0
21,7,Dodge,Sedans,3.0,30,Fatal Injury,1,0,2,1,0,50,55,0,-5
22,5,Ford,Pickups,15.0,54,No Apparent Injury,1,0,1,1,0,50,45,2,5
23,12,Chevrolet,SUVs,15.0,31,Suspected Serious Injury,0,0,2,0,0,55,55,0,0
24,12,Chevrolet,SUVs,15.0,9,Fatal Injury,0,0,2,0,0,55,55,0,0
25,22,Hyundai,Sedans,7.0,17,Fatal Injury,0,0,1,1,0,70,55,2,15
26,23,Chevrolet,SUVs,16.0,19,Fatal Injury,0,1,1,0,1,65,45,2,20
27,15,Jeep,SUVs,20.0,60,Suspected Serious Injury,0,0,2,0,0,55,55,0,0
28,15,Toyota,SUVs,2.0,80,Fatal Injury,1,0,2,0,0,50,55,0,-5
29,15,Toyota,SUVs,2.0,81,Fatal Injury,1,0,2,0,0,50,55,0,-5
30,18,Chevrolet,Sedans,13.0,71,Suspected Serious Injury,1,0,2,0,0,40,55,2,-15
31,18,Chevrolet,Sedans,13.0,71,Fatal Injury,1,0,2,0,0,40,55,2,-15
32,19,Chevrolet,SUVs,12.0,19,Fatal Injury,0,0,2,0,0,55,55,2,0
33,17,Toyota,Pickups,9.0,47,Fatal Injury,0,0,2,0,0,55,50,2,5
34,10,GMC,Pickups,12.0,64,Fatal Injury,1,0,1,1,1,55,55,0,0
35,17,Ford,Sedans,18.0,87,No Apparent Injury,1,0,1,0,0,55,55,2,0
36,17,Ford,Sedans,18.0,80,No Apparent Injury,1,0,1,0,0,55,55,2,0
37,13,Dodge,Sedans,15.0,44,Suspected Minor Injury,1,0,5,1,0,55,55,0,0
38,6,Toyota,Pickups,33.0,27,No Apparent Injury,1,0,1,0,0,60,45,2,15
39,6,Jeep,SUVs,8.0,41,Fatal Injury,0,1,1,0,2,65,55,2,10
40,15,Chevrolet,Pickups,16.0,61,Suspected Serious Injury,0,0,2,0,0,50,55,0,-5
41,7,Chevrolet,Sedans,6.0,55,Fatal Injury,0,0,2,1,0,55,55,0,0
42,7,Ford,Pickups,16.0,45,Fatal Injury,0,0,2,1,1,30,55,0,-25
43,4,Ford,Sedans,11.0,18,Fatal Injury,1,0,1,1,0,65,55,2,10
44,7,Honda,Sedans,14.0,27,Fatal Injury,0,1,1,0,1,80,55,0,25
45,7,Honda,Sedans,14.0,2,Fatal Injury,0,1,1,0,1,80,55,0,25
46,15,Chevrolet,Pickups,21.0,68,Fatal Injury,0,1,1,0,0,50,55,0,-5
47,3,Ford,SUVs,23.0,54,No Apparent Injury,1,0,1,1,0,65,70,2,-5
48,3,Toyota,SUVs,5.0,73,Fatal Injury,1,0,2,1,1,0,70,2,-70
49,21,Chevrolet,Pickups,11.0,80,No Apparent Injury,1,0,2,0,0,40,55,2,-15
50,20,BMW,Sedans,2.0,24,Suspected Minor Injury,0,1,1,0,1,80,55,2,25
51,20,BMW,Sedans,2.0,25,Fatal Injury,0,1,1,0,1,80,55,2,25
52,21,Toyota,Sedans,10.0,34,Fatal Injury,1,0,2,0,0,45,45,2,0
53,21,Toyota,Sedans,10.0,10,Suspected Serious Injury,1,2,2,0,0,45,45,2,0
54,17,Honda,Sedans,7.0,18,Fatal Injury,0,0,3,0,0,65,65,0,0
55,1,Chevrolet,Pickups,5.0,24,Fatal Injury,0,0,1,0,0,55,55,2,0
56,22,Chevrolet,Pickups,14.0,43,Fatal Injury,0,0,1,0,1,70,40,2,30
57,18,GMC,SUVs,6.0,29,No Apparent Injury,1,0,3,0,0,55,55,2,0
58,18,Dodge,SUVs,17.0,34,No Apparent Injury,1,0,3,0,0,55,55,2,0
59,18,BMW,SUVs,3.0,65,No Apparent Injury,1,0,3,0,0,55,55,2,0
60,6,Dodge,Pickups,11.0,39,Fatal Injury,1,0,1,1,1,55,55,0,0
61,9,Dodge,SUVs,18.0,33,Fatal Injury,0,0,1,0,1,65,25,0,40
62,18,Ford,Sedans,18.0,41,Fatal Injury,1,0,2,1,0,15,40,2,-25
63,18,Ford,Sedans,18.0,33,No Apparent Injury,0,0,2,1,0,15,40,2,-25
64,18,BMW,Sedans,11.0,50,No Apparent Injury,1,0,2,1,0,60,65,2,-5
65,15,Ford,Pickups,24.0,54,Fatal Injury,0,0,2,1,1,30,35,0,-5
66,12,Honda,Sedans,17.0,17,Suspected Serious Injury,1,0,1,1,0,55,35,0,20
67,12,Honda,Sedans,17.0,15,Fatal Injury,1,0,1,1,0,55,35,0,20
68,12,Honda,Sedans,17.0,15,No Apparent Injury,1,0,1,1,0,55,35,0,20
69,12,Honda,Sedans,17.0,15,Suspected Serious Injury,1,0,1,1,0,55,35,0,20
70,14,Honda,Sedans,22.0,52,Suspected Serious Injury,1,0,1,1,0,85,35,0,50
71,14,Honda,Sedans,22.0,24,Fatal Injury,0,0,1,1,0,85,35,0,50
72,17,Toyota,Pickups,7.0,65,No Apparent Injury,1,0,2,1,0,55,65,2,-10
73,7,GMC,SUVs,12.0,17,Possible Injury,1,0,2,0,0,70,45,0,25
74,7,GMC,Pickups,23.0,42,Fatal Injury,1,0,2,0,0,50,45,0,5
75,9,Ford,SUVs,23.0,27,Fatal Injury,1,0,1,1,0,55,45,0,10
76,19,Ford,Pickups,9.0,79,Suspected Minor Injury,1,0,1,0,1,55,55,2,0
77,19,Ford,Pickups,9.0,74,Suspected Serious Injury,1,0,1,0,1,55,55,2,0
78,19,Ford,Pickups,9.0,78,Fatal Injury,0,1,1,0,1,55,55,2,0
79,22,Ford,SUVs,17.0,56,Fatal Injury,0,0,1,1,0,70,55,2,15
80,20,BMW,Pickups,16.0,36,No Apparent Injury,1,0,1,0,0,45,45,2,0
81,20,BMW,Pickups,16.0,24,No Apparent Injury,1,0,1,0,0,45,45,2,0
82,20,BMW,Pickups,16.0,11,No Apparent Injury,1,0,1,0,0,45,45,2,0
83,12,BMW,Sedans,2.0,21,Suspected Serious Injury,0,0,1,0,1,130,55,0,75
84,12,BMW,Sedans,2.0,19,Fatal Injury,0,0,1,0,1,130,55,0,75
85,21,BMW,Sedans,12.0,58,Fatal Injury,0,0,1,0,0,45,60,2,-15
